YEAR: 1975 | DATE: 12.05 | TYPE: GLOBAL | CAT: conflict | TEXT: End of the Vietnam War
YEAR: 1975 | DATE: 22.08 | TYPE: LOCAL | CAT: milestone | TEXT: Born in Rome, Italy
YEAR: 1977 | DATE: 25.05 | TYPE: GLOBAL | CAT: culture | TEXT: Release of Star Wars changes global pop culture
YEAR: 1980 | DATE: 14.03 | TYPE: LOCAL | CAT: milestone | TEXT: Younger brother born (5 years difference)
YEAR: 1981 | DATE: 01.09 | TYPE: LOCAL | CAT: education | TEXT: Started primary school in Rome
YEAR: 1983 | DATE: 01.10 | TYPE: LOCAL | CAT: social | TEXT: Joined the local Roman football (calcio) youth academy
YEAR: 1985 | DATE: 15.04 | TYPE: LOCAL | CAT: social | TEXT: Formed a garage rock band with school friends
YEAR: 1986 | DATE: 26.04 | TYPE: GLOBAL | CAT: crisis | TEXT: Chernobyl nuclear disaster shocks Europe
YEAR: 1986 | DATE: 01.09 | TYPE: LOCAL | CAT: education | TEXT: Transitioned to middle school in Rome
YEAR: 1987 | DATE: 15.07 | TYPE: LOCAL | CAT: travel | TEXT: First trip abroad: Family summer vacation in France
YEAR: 1989 | DATE: 09.11 | TYPE: GLOBAL | CAT: politics | TEXT: Fall of the Berlin Wall
YEAR: 1989 | DATE: 01.09 | TYPE: LOCAL | CAT: education | TEXT: Started Liceo Classico (High School) in Rome
YEAR: 1990 | DATE: 08.07 | TYPE: GLOBAL | CAT: culture | TEXT: Italy wins the FIFA World Cup in Rome
YEAR: 1990 | DATE: 09.07 | TYPE: LOCAL | CAT: social | TEXT: Celebrated World Cup victory in the streets of Rome
YEAR: 1991 | DATE: 26.12 | TYPE: GLOBAL | CAT: politics | TEXT: Dissolution of the Soviet Union
YEAR: 1991 | DATE: 01.08 | TYPE: LOCAL | CAT: travel | TEXT: School trip to Athens, Greece
YEAR: 1993 | DATE: 14.02 | TYPE: LOCAL | CAT: relationship | TEXT: First serious teenage girlfriend in Rome
YEAR: 1993 | DATE: 20.07 | TYPE: LOCAL | CAT: travel | TEXT: Interrail trip visiting Spain and Portugal
